,neighborhood,year,tree_count,species_count
196,Financial District,2000.0,118,6
197,Financial District,2001.0,105,3
198,Financial District,2002.0,14,5
199,Financial District,2003.0,13,7
200,Financial District,2004.0,4,3
201,Financial District,2005.0,4,2
202,Financial District,2006.0,5,4
203,Financial District,2007.0,5,3
204,Financial District,2009.0,15,1
205,Financial District,2010.0,9,3
206,Financial District,2011.0,27,8
207,Financial District,2012.0,12,4
208,Financial District,2013.0,14,5
209,Financial District,2014.0,14,9
210,Financial District,2015.0,7,5
211,Financial District,2016.0,10,6
212,Financial District,2017.0,7,4
213,Financial District,2018.0,14,3
214,Financial District,2019.0,1,1
215,Ingleside,1969.0,5,3
216,Ingleside,1974.0,10,8
217,Ingleside,1975.0,1,1
218,Ingleside,1977.0,17,9
219,Ingleside,1978.0,6,2
220,Ingleside,1979.0,1,1
221,Ingleside,1980.0,7,6
222,Ingleside,1981.0,4,3
223,Ingleside,1982.0,30,6
224,Ingleside,1983.0,28,7
225,Ingleside,1985.0,108,24
226,Ingleside,1986.0,59,14
227,Ingleside,1987.0,2,2
228,Ingleside,1988.0,6,6
229,Ingleside,1989.0,62,24
230,Ingleside,1990.0,116,32
231,Ingleside,1991.0,29,14
232,Ingleside,1992.0,109,23
233,Ingleside,1993.0,130,34
234,Ingleside,1994.0,118,39
235,Ingleside,1995.0,306,45
236,Ingleside,1996.0,126,28
237,Ingleside,1997.0,182,24
238,Ingleside,1998.0,484,51
239,Ingleside,1999.0,159,38
240,Ingleside,2000.0,371,54
241,Ingleside,2001.0,101,29
242,Ingleside,2002.0,140,45
243,Ingleside,2003.0,370,48
244,Ingleside,2004.0,28,20
245,Ingleside,2005.0,115,29
246,Ingleside,2006.0,73,28
247,Ingleside,2007.0,96,26
248,Ingleside,2008.0,164,40
249,Ingleside,2009.0,61,25
250,Ingleside,2010.0,62,25
251,Ingleside,2011.0,159,39
252,Ingleside,2012.0,45,16
253,Ingleside,2013.0,35,14
254,Ingleside,2014.0,64,24
255,Ingleside,2015.0,168,45
256,Ingleside,2016.0,106,39
257,Ingleside,2017.0,450,40
258,Ingleside,2018.0,103,31
259,Ingleside,2019.0,61,22
260,Ingleside,2020.0,8,2
261,Inner Richmond,1956.0,25,1
262,Inner Richmond,1969.0,12,10
263,Inner Richmond,1970.0,5,3
264,Inner Richmond,1972.0,38,18
265,Inner Richmond,1973.0,79,28
266,Inner Richmond,1974.0,8,6
267,Inner Richmond,1975.0,1,1
268,Inner Richmond,1976.0,2,2
269,Inner Richmond,1977.0,8,5
270,Inner Richmond,1978.0,14,7
271,Inner Richmond,1979.0,7,6
272,Inner Richmond,1980.0,82,20
273,Inner Richmond,1981.0,9,8
274,Inner Richmond,1982.0,19,8
275,Inner Richmond,1983.0,40,10
276,Inner Richmond,1984.0,62,15
277,Inner Richmond,1985.0,42,12
278,Inner Richmond,1986.0,24,7
279,Inner Richmond,1987.0,34,13
280,Inner Richmond,1988.0,15,8
