latitude,longitude,species
37.797868914157,-122.434053622923,Tree(s) ::
37.7598378814877,-122.398118527649,Tree(s) ::
37.7598378814877,-122.398118527649,Tree(s) ::
37.7597722913679,-122.398108996354,Pittosporum undulatum :: Victorian Box
37.7926503347532,-122.412449106972,Tree(s) ::
37.77319432354,-122.484328404455,Magnolia grandiflora :: Southern Magnolia
37.77319432354,-122.484328404455,Magnolia grandiflora :: Southern Magnolia
37.7957177628231,-122.441859564181,Magnolia grandiflora :: Southern Magnolia
37.7611437571862,-122.395507498425,Magnolia grandiflora :: Southern Magnolia
37.7610324131469,-122.395316357062,Tree(s) ::
37.7432223384343,-122.433634311668,Ginkgo biloba :: Maidenhair Tree
37.7432148065033,-122.43347841679,Tree(s) ::
37.743225678518,-122.433564611513,Ginkgo biloba :: Maidenhair Tree
37.7432173274264,-122.433720908293,Arbutus 'Marina' :: Hybrid Strawberry Tree
37.7931892226682,-122.441380081625,Platanus x hispanica :: Sycamore: London Plane
37.7932424094526,-122.441395280167,Platanus x hispanica :: Sycamore: London Plane
37.7586274045115,-122.398002109429,Tree(s) ::
37.7609066073309,-122.398221315967,Tree(s) ::
37.759006470101,-122.398028841583,Pittosporum undulatum :: Victorian Box
37.7609799904813,-122.398228373949,Tree(s) ::
37.7609007687805,-122.39840324732,Pittosporum undulatum :: Victorian Box
37.7594728764791,-122.398072974013,Pittosporum undulatum :: Victorian Box
37.7610533736303,-122.398235431944,Tree(s) ::
37.7604333499451,-122.398422303055,Pittosporum undulatum :: Victorian Box
37.7553330722467,-122.397866876326,Tree(s) ::
37.7611512178269,-122.398244842626,Tree(s) ::
37.7746567699064,-122.456051667548,Tree(s) ::
37.7746567699064,-122.456051667548,Tree(s) ::
37.7562554623384,-122.397954660792,Tree(s) ::
37.7582642614201,-122.39796718471,Pittosporum undulatum :: Victorian Box
37.7598359854092,-122.398237713511,Tree(s) ::
37.7552611158687,-122.397860063467,Tree(s) ::
37.7615958225681,-122.398287605033,Tree(s) ::
37.7583368899862,-122.397974169621,Tree(s) ::
37.7557203410274,-122.397879941701,Maytenus boaria :: Mayten
37.7598359854092,-122.398237713511,Tree(s) ::
37.7578526990026,-122.397927603754,Pittosporum undulatum :: Victorian Box
37.7599783827833,-122.398251377055,Tree(s) ::
37.7585247113659,-122.398189717675,Pittosporum undulatum :: Victorian Box
37.7552131450005,-122.397855521573,Tree(s) ::
37.7599783827833,-122.398251377055,Tree(s) ::
37.7577917638944,-122.398107878472,Pittosporum undulatum :: Victorian Box
37.7781192320704,-122.451583952943,Pittosporum undulatum :: Victorian Box
37.7781192320704,-122.451583952943,Pittosporum undulatum :: Victorian Box
37.7781192320704,-122.451583952943,Pittosporum undulatum :: Victorian Box
37.7781192320704,-122.451583952943,Pittosporum undulatum :: Victorian Box
37.7781192320704,-122.451583952943,Pittosporum undulatum :: Victorian Box
37.7781192320704,-122.451583952943,Pittosporum undulatum :: Victorian Box
37.7781192320704,-122.451583952943,Pittosporum undulatum :: Victorian Box
37.7781192320704,-122.451583952943,Pittosporum undulatum :: Victorian Box
37.7781192320704,-122.451583952943,Pittosporum undulatum :: Victorian Box
37.7781192320704,-122.451583952943,Pittosporum undulatum :: Victorian Box
37.7781192320704,-122.451583952943,Pittosporum undulatum :: Victorian Box
37.7781192320704,-122.451583952943,Pittosporum undulatum :: Victorian Box
37.7781192320704,-122.451583952943,Pittosporum undulatum :: Victorian Box
37.7781192320704,-122.451583952943,Pittosporum undulatum :: Victorian Box
37.7781192320704,-122.451583952943,Pittosporum undulatum :: Victorian Box
37.7880703139695,-122.455577015358,Tree(s) ::
37.7781192320704,-122.451583952943,Pittosporum undulatum :: Victorian Box
37.7781192320704,-122.451583952943,Pittosporum undulatum :: Victorian Box
37.7781192320704,-122.451583952943,Pittosporum undulatum :: Victorian Box
37.7781192320704,-122.451583952943,Pittosporum undulatum :: Victorian Box
37.7781192320704,-122.451583952943,Pittosporum undulatum :: Victorian Box
37.7781192320704,-122.451583952943,Pittosporum undulatum :: Victorian Box
37.7781192320704,-122.451583952943,Pittosporum undulatum :: Victorian Box
37.7781192320704,-122.451583952943,Pittosporum undulatum :: Victorian Box
37.7781192320704,-122.451583952943,Pittosporum undulatum :: Victorian Box
37.7781192320704,-122.451583952943,Pittosporum undulatum :: Victorian Box
37.7972954389769,-122.440879042342,Platanus x hispanica :: Sycamore: London Plane
37.7974111107004,-122.441202795597,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem'
37.7974193107158,-122.441132920953,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem'
37.7972678057666,-122.441030166334,Tree(s) ::
37.7972494854297,-122.441244833501,Platanus x hispanica :: Sycamore: London Plane
37.7973908831491,-122.441125310885,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem'
37.7972907768996,-122.440926241448,Platanus x hispanica :: Sycamore: London Plane
37.7972827855346,-122.440986082347,Platanus x hispanica :: Sycamore: London Plane
37.7920851942278,-122.44523389245,Platanus x hispanica :: Sycamore: London Plane
37.8043814669615,-122.407594621587,Pittosporum undulatum :: Victorian Box
37.8006833258058,-122.406651960918,Magnolia grandiflora :: Southern Magnolia
37.8008653758927,-122.406355057963,Magnolia grandiflora :: Southern Magnolia
37.8007386066666,-122.407264060286,Pittosporum undulatum :: Victorian Box
37.8010195675446,-122.40510331616,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem'
37.8009142983168,-122.404858440665,Platanus x hispanica :: Sycamore: London Plane
37.8008963748235,-122.404941379744,Platanus x hispanica :: Sycamore: London Plane
37.8008134771171,-122.405700591027,Pittosporum undulatum :: Victorian Box
37.800663334257,-122.406914444928,Pittosporum undulatum :: Victorian Box
37.8008420431764,-122.405401443236,Pittosporum undulatum :: Victorian Box
37.8007222896518,-122.406343041799,Magnolia grandiflora :: Southern Magnolia
37.8010120609184,-122.405141996933,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem'
37.8010854078142,-122.404620668305,Magnolia grandiflora :: Southern Magnolia
37.8008862925398,-122.40508457339,Platanus x hispanica :: Sycamore: London Plane
37.8010373807574,-122.404520619212,Magnolia grandiflora :: Southern Magnolia
37.8046650454957,-122.440177457205,Magnolia grandiflora :: Southern Magnolia
37.8043805076484,-122.407653928331,Pittosporum undulatum :: Victorian Box
37.8008215943087,-122.406602828336,Pittosporum undulatum :: Victorian Box
37.8044610266311,-122.408072643082,Pittosporum undulatum :: Victorian Box
37.8010206395549,-122.405065992499,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem'
37.8010045533644,-122.405181356653,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem'
37.8009670192778,-122.405494875589,Platanus x hispanica :: Sycamore: London Plane
37.800826359895,-122.405521953284,Arbutus 'Marina' :: Hybrid Strawberry Tree
37.8005647930868,-122.40879442568,Magnolia grandiflora :: Southern Magnolia
37.8043574024879,-122.40780907895,Pittosporum undulatum :: Victorian Box
37.8010522759047,-122.404791833276,Pittosporum undulatum :: Victorian Box
37.8010420883794,-122.404903125306,Pittosporum undulatum :: Victorian Box
37.8043727860541,-122.407706880882,Pittosporum undulatum :: Victorian Box
37.8007652524462,-122.40706733437,Pittosporum undulatum :: Victorian Box
37.8010206395394,-122.405030704924,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem'
37.8009221404044,-122.40476841315,Arbutus 'Marina' :: Hybrid Strawberry Tree
37.8004662734974,-122.408412403344,Magnolia grandiflora :: Southern Magnolia
37.801046372014,-122.404925373787,Magnolia grandiflora :: Southern Magnolia
37.8008000340602,-122.405826771312,Pittosporum undulatum :: Victorian Box
37.8004953099758,-122.408170826336,Pittosporum undulatum :: Victorian Box
37.8005975449467,-122.407332034382,Melaleuca quinquenervia :: Cajeput
