species,address,latitude,longitude
Sycamore: London Plane,817 Grove St,37.7768200787027,-122.430497854773
Sycamore: London Plane,824 Grove St,37.7769290920966,-122.430625008103
Sycamore: London Plane,815 Grove St,37.7768377182,-122.43039602251
New Zealand Xmas Tree,1196 Fulton St,37.7771737433157,-122.436259794295
Sycamore: London Plane,635 Steiner St,37.7751844486333,-122.432826075114
New Zealand Xmas Tree,881 Douglass St,37.7497401030925,-122.43825973269
New Zealand Xmas Tree,1365 09th Ave,37.7628341559201,-122.466316679615
New Zealand Xmas Tree,643 43rd Ave,37.7764424635595,-122.503895249807
Cherry Plum,658 43rd Ave,37.7762006139918,-122.503721684505
New Zealand Xmas Tree,670 43rd Ave,37.7759992387196,-122.50370882964
New Zealand Xmas Tree,674 43rd Ave,37.7758865419638,-122.503702986098
New Zealand Xmas Tree,668 43rd Ave,37.7760297220972,-122.503714673158
Brisbane Box,199x PROSPECT AVE,37.7423538914471,-122.419234172296
New Zealand Xmas Tree,15 Eugenia Ave,37.7419495864109,-122.421398844595
Swamp Myrtle,21 Walter St,37.7688732316917,-122.432338023395
Sycamore: London Plane,106 Surrey St,37.7361841761277,-122.434525633653
Sycamore: London Plane,106 Surrey St,37.7362055250788,-122.434556740723
New Zealand Xmas Tree,128 17th Ave,37.7855086111155,-122.476450736915
New Zealand Xmas Tree,2346 35th Ave,37.7432945681944,-122.492820356985
New Zealand Xmas Tree,2367 35th Ave,37.742933536144,-122.492949985533
New Zealand Xmas Tree,2362 35th Ave,37.7429788527908,-122.492799011868
New Zealand Xmas Tree,2308 35th Ave,37.7438799928536,-122.492862398817
New Zealand Xmas Tree,2343 35th Ave,37.7433402551244,-122.492977284005
New Zealand Xmas Tree,2330 35th Ave,37.7435555192264,-122.492836721295
New Zealand Xmas Tree,2334 35th Ave,37.743446919952,-122.492826784268
New Zealand Xmas Tree,2342 35th Ave,37.7433670073897,-122.49282464102
New Zealand Xmas Tree,2323 35th Ave,37.7436971425043,-122.493010270237
New Zealand Xmas Tree,2327 35th Ave,37.7436203536161,-122.493015820281
New Zealand Xmas Tree,1493 45th Ave,37.7587594262565,-122.504811983223
New Zealand Xmas Tree,2300 Broderick St,37.7915427393453,-122.442766705814
New Zealand Xmas Tree,2594 McAllister St,37.7755957470242,-122.45466243553
New Zealand Xmas Tree,2566 McAllister St,37.775641659615,-122.454301956467
New Zealand Xmas Tree,2546 McAllister St,37.7756842593787,-122.453959426504
Sycamore: London Plane,2903 Clay St,37.7897530812795,-122.441293125296
New Zealand Xmas Tree,740 47th Ave,37.7744630365483,-122.50789538577
New Zealand Xmas Tree,780 47th Ave,37.7737796465271,-122.507841641391
New Zealand Xmas Tree,748 47th Ave,37.7743152770757,-122.507887596506
New Zealand Xmas Tree,764 47th Ave,37.7740400741288,-122.507868123711
New Zealand Xmas Tree,744 47th Ave,37.7743879256377,-122.507889933005
New Zealand Xmas Tree,784 47th Ave,37.7736996092124,-122.507834630928
New Zealand Xmas Tree,752 47th Ave,37.7742407816223,-122.507882143717
New Zealand Xmas Tree,779 47th Ave,37.773771125802,-122.508005008994
New Zealand Xmas Tree,755 47th Ave,37.7741855932149,-122.508035120539
New Zealand Xmas Tree,735 47th Ave,37.7745188062779,-122.508056925327
Cherry Plum,442 16th Ave,37.7796347288322,-122.474945092225
Cherry Plum,2318 35th Ave,37.7437295194885,-122.492854850837
Swamp Myrtle,131 09th Ave,37.785918963932,-122.46793866689
New Zealand Xmas Tree,1438 Cabrillo St,37.7749803081186,-122.474263199968
New Zealand Xmas Tree,275 18th Ave,37.7828191509092,-122.477496595987
New Zealand Xmas Tree,393 26th Ave,37.782106110543,-122.486040408883
New Zealand Xmas Tree,711 36th Ave,37.7754920142977,-122.496301771845
New Zealand Xmas Tree,1431 Cabrillo St,37.7748256849269,-122.474168305535
Cherry Plum,1254 Montgomery St,37.8008347874628,-122.404310539521
New Zealand Xmas Tree,2514 McAllister St,37.7757184145069,-122.453671734403
New Zealand Xmas Tree,2521 McAllister St,37.7755696659594,-122.453963057053
Cherry Plum,1482 Page St,37.7712520889888,-122.445237777071
New Zealand Xmas Tree,1650 Noriega St,37.7541322232503,-122.481617894691
New Zealand Xmas Tree,2721 Noriega St,37.7534046064035,-122.492965639906
New Zealand Xmas Tree,2833 Noriega St,37.7533589143678,-122.494204043892
New Zealand Xmas Tree,2650 Noriega St,37.7536578443464,-122.492206011822
New Zealand Xmas Tree,2850 Noriega St,37.7535565552022,-122.494488969199
New Zealand Xmas Tree,2727 Noriega St,37.7534016861242,-122.493059540635
New Zealand Xmas Tree,2601 Noriega St,37.7534733689048,-122.491696246506
New Zealand Xmas Tree,2732 Noriega St,37.7535873787505,-122.492913609818
New Zealand Xmas Tree,2560 Washington St,37.7915443527436,-122.435314452127
New Zealand Xmas Tree,3701 Sacramento St,37.7872681150837,-122.453791840119
New Zealand Xmas Tree,1342 39th Ave,37.7618152647633,-122.498408878627
New Zealand Xmas Tree,136 Delmar St,37.7665580018268,-122.445297733802
New Zealand Xmas Tree,515 46th Ave,37.778669454373,-122.507287270345
Cherry Plum,1739 32nd Ave,37.7547055025231,-122.490557020674
New Zealand Xmas Tree,507 46th Ave,37.7787721541621,-122.507295790862
Sycamore: London Plane,2106 Scott St,37.7892960800172,-122.438886908304
Brisbane Box,154 Sanchez St,37.766669692682,-122.43117413461
New Zealand Xmas Tree,504 46th Ave,37.7788049844135,-122.507141357889
Cherry Plum,972 Minnesota St,37.7582346422339,-122.39034654037
Sycamore: London Plane,111 10th Ave,37.7861981373728,-122.469037463703
Cherry Plum,65 States St,37.7633249426065,-122.436756377425
Cherry Plum,18 Levant St,37.7647636405637,-122.442414713826
Cherry Plum,30 Levant St,37.7645070177544,-122.442407570518
Cherry Plum,24 Levant St,37.7646473507384,-122.44241833149
New Zealand Xmas Tree,2226 Divisadero St,37.7903145082606,-122.440798956816
Sycamore: London Plane,91 Henry St,37.7666051407068,-122.433088392926
New Zealand Xmas Tree,60 Clifford Ter,37.7639858119387,-122.443768982256
Brisbane Box,732 Presidio Ave,37.7850667350234,-122.446273923953
Cherry Plum,100 Commonwealth Ave,37.7837497228996,-122.455606076565
Cherry Plum,1534 Baker St,37.7853589960394,-122.443221617032
Swamp Myrtle,500 Grove St,37.7776391759665,-122.42509858662
Sycamore: London Plane,1154 Chestnut St,37.8026561034526,-122.422334896762
Sycamore: London Plane,151 Henry St,37.7665224678053,-122.434454434548
