year,species,count
2016,Swamp Myrtle,100
2017,Brisbane Box,175
2017,Cherry Plum,22
2017,Hybrid Strawberry Tree,37
2017,Southern Magnolia,27
2017,Swamp Myrtle,101
2018,Brisbane Box,89
2018,Cherry Plum,10
2018,Hybrid Strawberry Tree,83
2018,Southern Magnolia,33
2018,Swamp Myrtle,110
2019,Brisbane Box,50
2019,Cherry Plum,5
2019,Hybrid Strawberry Tree,27
2019,Southern Magnolia,11
2019,Swamp Myrtle,95
2020,Brisbane Box,7
2020,Hybrid Strawberry Tree,2
2020,Swamp Myrtle,13
