species,address,latitude,longitude
Cherry Plum,10 Hillway Ave,37.764730469656,-122.456664521149
Cherry Plum,10 Joy St,37.7437739492996,-122.406674804102
Cherry Plum,10 Kalmanovitz St,37.7283592870497,-122.396753038148
Sycamore: London Plane,10 King St,37.7806719412978,-122.388885850717
Swamp Myrtle,10 Las Villas Ct,37.7333285587394,-122.38563687008
Cherry Plum,10 Levant St,37.7649053059642,-122.442364299668
Cherry Plum,10 Loma Vista Ter,37.7650519691887,-122.443310039322
Swamp Myrtle,10 Loma Vista Ter,37.765188322609,-122.443317592742
New Zealand Xmas Tree,10 Lupine Ave,37.7840795084333,-122.449384168554
Sycamore: London Plane,10 Mateo St,37.7371955209567,-122.429893490793
Swamp Myrtle,10 Mill St,37.7194555904939,-122.405712770528
Sycamore: London Plane,10 Normandie Ter,37.7938677872075,-122.4406668518
Cherry Plum,10 Otsego Ave,37.7270028279165,-122.439007348127
Sycamore: London Plane,10 Roanoke St,37.7364212685243,-122.431213399685
Swamp Myrtle,10 Rolph St,37.7155626339762,-122.441222488037
Swamp Myrtle,10 Romain St,37.7556398401092,-122.438847746407
New Zealand Xmas Tree,10 Rousseau St,37.7335710057983,-122.430386337287
New Zealand Xmas Tree,10 SEACLIFF AVE,37.788990841692,-122.484789589413
Swamp Myrtle,10 San Andreas Way,37.7341638955498,-122.463835582055
New Zealand Xmas Tree,10 Seacliff Ave,37.7889983045622,-122.484858100014
New Zealand Xmas Tree,10 Shore View Ave,37.7806740097418,-122.496944292743
Victorian Box,10 Stanford Heights Ave,37.7340934318661,-122.449962574533
Sycamore: London Plane,10 Starr King Way,37.7846901005097,-122.423300702092
Cherry Plum,10 Walnut St,37.7913092042995,-122.449260243563
Cherry Plum,10 Woodland Ave,37.7641268320976,-122.453380686287
Swamp Myrtle,100 09th Ave,37.7863742905451,-122.467810568951
Cherry Plum,100 19th Ave,37.7857701098965,-122.478621999998
Victorian Box,100 21st Ave,37.7857756190772,-122.480767882959
New Zealand Xmas Tree,100 27th St,37.7472078063944,-122.422769010297
New Zealand Xmas Tree,100 Acadia St,37.7316137334439,-122.437367766054
New Zealand Xmas Tree,100 Alemany Blvd,37.735514360685,-122.409948828285
Victorian Box,100 Anderson St,37.7414939170179,-122.415127643537
Swamp Myrtle,100 Ashbury St,37.7744803767388,-122.447755234881
New Zealand Xmas Tree,100 Buena Vista Ter,37.7671501109056,-122.438265589986
Victorian Box,100 Burlwood Dr,37.7350829873752,-122.452993047911
Sycamore: London Plane,100 Bush St,37.7913925405012,-122.399621455512
New Zealand Xmas Tree,100 Carmel St,37.7608890254153,-122.449183977457
New Zealand Xmas Tree,100 Cerritos Ave,37.7263732776196,-122.469244755687
Sycamore: London Plane,100 Clay St,37.7954756095544,-122.397126031945
Sycamore: London Plane,100 Clifford Ter,37.7640954502549,-122.444520436874
Cherry Plum,100 Coleridge St,37.7441257054073,-122.419551194294
Swamp Myrtle,100 Colon Ave,37.7288745967493,-122.455513542245
Cherry Plum,100 Commonwealth Ave,37.7837497228996,-122.455606076565
Victorian Box,100 Cook St,37.7816345116266,-122.45203535783
Sycamore: London Plane,100 De Montfort Ave,37.7236963750783,-122.459403705022
Swamp Myrtle,100 Desmond St,37.7106117590847,-122.405372606475
Sycamore: London Plane,100 Drumm St,37.7953938764737,-122.396603641852
Victorian Box,100 Elm St,37.7816783375121,-122.419252418291
Sycamore: London Plane,100 FONT BLVD,37.715462969911,-122.473334188491
Cherry Plum,100 Freelon St,37.778746166691,-122.397141295625
Sycamore: London Plane,100 Fulton St,37.7798295076742,-122.416589227122
Swamp Myrtle,100 Girard St,37.730917314013,-122.406156470326
Swamp Myrtle,100 Goettingen St,37.7302706953269,-122.408070533924
New Zealand Xmas Tree,100 Golden Gate Ave,37.7820611042773,-122.412806504136
Sycamore: London Plane,100 Green St,37.8004670133007,-122.40188666784
Swamp Myrtle,100 Greenwood Ave,37.7288896838048,-122.455291154777
Cherry Plum,100 Ina Ct,37.722574479812,-122.425564792981
Sycamore: London Plane,100 Industrial St,37.7393600461416,-122.402411733411
Cherry Plum,100 Joost Ave,37.7324373042189,-122.437601643014
Cherry Plum,100 Judson Ave,37.7283423752946,-122.444397221682
Sycamore: London Plane,100 Julian Ave,37.7661146512887,-122.421080626682
Cherry Plum,100 LOCUST ST,37.7899813188913,-122.452282225129
Sycamore: London Plane,100 Larkin St,37.7792395550969,-122.416530850318
Sycamore: London Plane,100 Laurel St,37.790255443493,-122.450732801604
New Zealand Xmas Tree,100 Lomita Ave,37.7582341413231,-122.472598817982
Cherry Plum,100 Lyon St,37.7718858194659,-122.442169599164
Swamp Myrtle,100 MASONIC AVE,37.780752269091,-122.447343495542
New Zealand Xmas Tree,100 Mansell St,37.7213586009108,-122.402399119539
Sycamore: London Plane,100 Maple St,37.7890791419448,-122.455554925923
Swamp Myrtle,100 Masonic Ave,37.7810981763644,-122.447431561272
Swamp Myrtle,100 McCoppin St,37.7716516035611,-122.422946185717
Swamp Myrtle,100 Merrill St,37.7323166349901,-122.409406936389
Cherry Plum,100 Morse St,37.7132002867365,-122.438820001354
Cherry Plum,100 Newman St,37.73774768042,-122.417864419915
Swamp Myrtle,100 Oak St,37.7751265344873,-122.422303863832
Victorian Box,100 Otis St,37.7717040957938,-122.420389859033
New Zealand Xmas Tree,100 PARKER AVE,37.7838416028044,-122.454522098809
New Zealand Xmas Tree,100 PORTOLA DR,37.74964735702,-122.443681331522
Victorian Box,100 PUTNAM ST,37.7380440457606,-122.410981172443
Swamp Myrtle,100 Randolph St,37.7143812997511,-122.463741645146
Cherry Plum,100 Rousseau St,37.7331360693763,-122.430305323657
Sycamore: London Plane,100 San Anselmo Ave,37.7365068228322,-122.465868958209
Victorian Box,100 San Fernando Way,37.7346066146902,-122.469619728264
Victorian Box,100 Santa Ynez Ave,37.7248628704139,-122.440528150264
Swamp Myrtle,100 Shotwell St,37.7633582084166,-122.416291642676
Sycamore: London Plane,100 Spruce St,37.7896227092709,-122.453976725454
Sycamore: London Plane,100 Steuart St,37.7921120965556,-122.391943963848
Victorian Box,100 Tara St,37.7212277153738,-122.448541965862
Sycamore: London Plane,100 The Embarcadero,37.7801268774736,-122.389583949745
Cherry Plum,100 Upper Ter,37.76536161907,-122.443621406981
Cherry Plum,100 Valdez Ave,37.7302808324897,-122.454996924487
Swamp Myrtle,100 Venus St,37.731298624935,-122.397876080041
Sycamore: London Plane,100 Vicente St,37.7398692449767,-122.46715823707
Sycamore: London Plane,100 Walnut St,37.7905154806655,-122.44909404255
Sycamore: London Plane,100 West Portal Ave,37.7396426191696,-122.467270575752
Swamp Myrtle,100 Whitney St,37.7394354084128,-122.427755643103
Sycamore: London Plane,1000 California St,37.7917379093309,-122.412343764257
Swamp Myrtle,1000 Cayuga Ave,37.7220768117153,-122.439836937152
New Zealand Xmas Tree,1000 Fulton St,37.7775020483312,-122.433693863913
Swamp Myrtle,1000 Fulton St,37.7775570672136,-122.433554609066
Sycamore: London Plane,1000 Gough St,37.7828127414482,-122.424081041104
New Zealand Xmas Tree,1000 Haight St,37.7711214604056,-122.438872679375
Sycamore: London Plane,1000 Indiana St,37.7555628085784,-122.391089000875
Victorian Box,1000 Irving St,37.7639964041248,-122.468487066847
Sycamore: London Plane,1000 Lombard St,37.802235966276,-122.418224288116
