year,neighborhood,most_popular_species,species_count
1978,Twin Peaks, Flowering Plum,1
1979,Bayshore, New Zealand Xmas Tree,1
1979,Castro, Chinese Banyan,1
1979,Ingleside, Hybrid Strawberry Tree,1
1979,Inner Richmond, Brush Cherry,2
1979,Lower Pacific Heights, Indian Laurel Fig Tree 'Green Gem',2
1979,Marina, Banyan Fig,4
1979,Mission, Blackwood Acacia,1
1979,Nob Hill, Indian Laurel Fig Tree 'Green Gem',4
1979,Outer Richmond, New Zealand Xmas Tree,2
1979,Panhandle, American Sweet Gum,7
1979,South Beach, Indian Laurel Fig Tree 'Green Gem',3
1979,Sunset, New Zealand Xmas Tree,1
1979,Taraval, New Zealand Xmas Tree,3
1979,Tenderloin, Banyan Fig,9
1979,Twin Peaks, Pittosporum spp,1
1980,Bayshore, New Zealand Xmas Tree,1
1980,Castro, Laurel Fig,1
1980,Financial District, Indian Laurel Fig Tree 'Green Gem',1
1980,Ingleside, Bronze Loquat,2
1980,Inner Richmond, American Sweet Gum,21
1980,Lower Pacific Heights, Blackwood Acacia,3
1980,Marina, Brazilian Pepper,4
1980,Mission, Carob,5
1980,Nob Hill, Hybrid Strawberry Tree,8
1980,North Beach, Banyan Fig,5
1980,Outer Richmond, Glossy Privet,1
1980,Panhandle, Brisbane Box,2
1980,Rincon Hill, Sycamore: London Plane,1
1980,SoMa, Brisbane Box,1
1980,South Beach, American Sweet Gum,3
1980,Sunset, Chinese Banyan,2
1980,Twin Peaks, Carob,9
1981,Bayview, Lemon Bottlebrush,14
1981,Castro, Bailey's Acacia,8
1981,Chinatown, Indian Laurel Fig Tree 'Green Gem',1
1981,Financial District, Indian Laurel Fig Tree 'Green Gem',1
1981,Ingleside, Bronze Loquat,2
1981,Inner Richmond, American Sweet Gum,2
1981,Lower Pacific Heights, Banyan Fig,3
1981,Marina, Aristocrat Callery Pear,3
1981,Mission, Australian Willow,6
1981,Nob Hill, Evergreen Pear,2
1981,North Beach, Bronze Loquat,1
1981,Outer Richmond, New Zealand Xmas Tree,3
1981,Panhandle, Australian Willow,9
1981,Rincon Hill, Indian Laurel Fig Tree 'Green Gem',1
1981,SoMa, American Sweet Gum,4
1981,South Beach, American Sweet Gum,13
1981,Tenderloin, Banyan Fig,5
1981,Twin Peaks, Maidenhair Tree,1
1982,Bayshore, Himalayan Magnolia,1
1982,Bayview, Bronze Loquat,29
1982,Castro, American Sweet Gum,11
1982,Chinatown, Indian Laurel Fig Tree 'Green Gem',1
1982,Ingleside, Brisbane Box,19
1982,Inner Richmond, Blackwood Acacia,7
1982,Lower Pacific Heights, Banyan Fig,11
1982,Marina, Indian Laurel Fig Tree 'Green Gem',2
1982,Mission, Carob,8
1982,Nob Hill, American Sweet Gum,8
1982,North Beach, Banyan Fig,1
1982,Outer Richmond, Cherry Plum,19
1982,Panhandle, Bailey's Acacia,9
1982,SoMa, American Sweet Gum,1
1982,South Beach, California Lilac 'Ray Hartman',15
1982,Sunset, Australian Willow,30
1982,Taraval, Mayten,9
1982,Tenderloin, Banyan Fig,2
1982,Twin Peaks, Bronze Loquat,17
1983,Bayshore, Primrose Tree,1
1983,Bayview, Cherry Plum,10
1983,Castro, Brisbane Box,13
1983,Chinatown, Brisbane Box,1
1983,Ingleside, Cherry Plum,18
1983,Inner Richmond, Brush Cherry,15
1983,Lower Pacific Heights, Bailey's Acacia,2
1983,Marina, Blackwood Acacia,2
1983,Mission, American Sweet Gum,30
1983,Nob Hill, Flaxleaf Paperbark,2
1983,North Beach, Indian Laurel Fig Tree 'Green Gem',10
1983,Outer Richmond, Indian Laurel Fig Tree 'Green Gem',1
1983,Panhandle, American Ash,15
1983,Rincon Hill, New Zealand Xmas Tree,1
1983,SoMa, American Sweet Gum,1
1983,South Beach, Indian Laurel Fig Tree 'Green Gem',1
1983,Sunset, Bronze Loquat,21
1983,Taraval, Lemon Bottlebrush,11
1983,Tenderloin, Sycamore: London Plane,1
1983,Twin Peaks, American Sweet Gum,28
1984,Bayshore, Evergreen Pear,16
1984,Castro, Bailey's Acacia,23
1984,Inner Richmond, Cajeput,20
1984,Lower Pacific Heights, Banyan Fig,3
1984,Marina, Chinese Banyan,3
1984,Mission, Brisbane Box,14
1984,Nob Hill, Chinese Banyan,1
1984,North Beach, Brisbane Box,1
1984,Outer Richmond, Brisbane Box,5
1984,Panhandle, Bailey's Acacia,3
1984,SoMa, Chinese Banyan,14
1984,South Beach, Brisbane Box,23
1984,Sunset, New Zealand Xmas Tree,1
1984,Taraval, Banyan Fig,2
1984,Tenderloin, Bailey's Acacia,4
1984,Twin Peaks, Bailey's Acacia,3
1985,Bayshore, New Zealand Xmas Tree,2
1985,Bayview, Carob,4
1985,Castro, Bronze Loquat,3
1985,Chinatown, Indian Laurel Fig Tree 'Green Gem',1
1985,Financial District, Indian Laurel Fig Tree 'Green Gem',1
1985,Ingleside, American Sweet Gum,35
1985,Inner Richmond, Brisbane Box,12
1985,Lower Pacific Heights, Banyan Fig,2
1985,Marina, Brisbane Box,13
1985,Mission, American Sweet Gum,27
1985,Nob Hill, Indian Laurel Fig Tree 'Green Gem',5
1985,North Beach, Blackwood Acacia,2
1985,Outer Richmond, Brisbane Box,8
1985,Panhandle, Banyan Fig,24
1985,SoMa, Brisbane Box,7
1985,South Beach, Brisbane Box,13
1985,Sunset, Bronze Loquat,11
1985,Tenderloin, Bailey's Acacia,2
1985,Twin Peaks, Chinese Banyan,4
1986,Castro, Brisbane Box,14
1986,Chinatown, Evergreen Pear,1
1986,Ingleside, Brazilian Pepper,15
1986,Inner Richmond, Blackwood Acacia,10
1986,Lake Merced, Cherry Plum,1
1986,Lower Pacific Heights, Brisbane Box,11
1986,Marina, Chinese Pistache,3
1986,Mission, Australian Willow,44
1986,Nob Hill, Brisbane Box,8
1986,North Beach, Banyan Fig,2
1986,Outer Richmond, Cajeput,6
1986,Panhandle, American Sweet Gum,15
1986,Rincon Hill, Indian Laurel Fig Tree 'Green Gem',2
1986,SoMa, Indian Laurel Fig Tree 'Green Gem',1
1986,South Beach, Honey Locust 'Shademaster',9
1986,Sunset, Bronze Loquat,15
1986,Taraval, Brazilian Pepper,1
1986,Tenderloin, Brisbane Box,3
1986,Twin Peaks, Magnolia,1
1987,Bayshore, Himalayan Magnolia,1
1987,Castro, Bailey's Acacia,15
1987,Chinatown, Indian Laurel Fig Tree 'Green Gem',1
1987,Ingleside, Olive Tree,1
1987,Inner Richmond, Brisbane Box,9
1987,Lower Pacific Heights, Banyan Fig,7
1987,Marina, Indian Laurel Fig Tree 'Green Gem',4
1987,Mission, Bailey's Acacia,40
1987,Nob Hill, Chinese Elm,5
1987,North Beach, Banyan Fig,9
1987,Outer Richmond, Ash Spp,2
1987,Panhandle, American Sweet Gum,19
1987,Portola, Bailey's Acacia,14
1987,SoMa, Flowering Plum,1
1987,South Beach, Chinese Banyan,2
1987,Sunset, Cherry Plum,21
1987,Taraval, Karo Tree,2
1987,Tenderloin, Brisbane Box,8
1987,Twin Peaks, Brisbane Box,12
