species,address,latitude,longitude
Brisbane Box,2200 03rd St,37.7615735587915,-122.38881251549
Swamp Myrtle,1606 Guerrero St,37.745363234828,-122.422515215131
Brisbane Box,30 Morse St,37.7135711887396,-122.437435547228
Sycamore: London Plane,2 Folsom St,37.7908430231508,-122.390090033136
Sycamore: London Plane,1090X Gough St,37.7833119108623,-122.42418941539
New Zealand Xmas Tree,168 Hyde St,37.7822541806174,-122.415528017206
Brisbane Box,101X Cashmere St,37.7357266870687,-122.383418119044
Sycamore: London Plane,3630 Jackson St,37.7899921372872,-122.454571030729
New Zealand Xmas Tree,5646 Geary Blvd,37.7804460905593,-122.480128712461
Brisbane Box,200 Baker St,37.773321333458,-122.440724988475
New Zealand Xmas Tree,1339 Diamond St,37.7466233567826,-122.435770699772
Swamp Myrtle,2321 28th Ave,37.7440453083682,-122.485520107247
Sycamore: London Plane,1700 Market St,37.772802615274,-122.422440576065
New Zealand Xmas Tree,1300X Sunset Blvd,37.7627150896217,-122.495986533771
New Zealand Xmas Tree,300X Saint Joseph's Ave,37.7823106701496,-122.441663283894
New Zealand Xmas Tree,2185 Hayes St,37.773070992957,-122.452419436755
Cherry Plum,235 Hazelwood Ave,37.7319927097789,-122.455097570602
Sycamore: London Plane,5499 California St,37.7841994304081,-122.476291693309
Brisbane Box,536 Liberty St,37.7570415002259,-122.433245151224
Cherry Plum,2415 40th Ave,37.7417167973555,-122.498246009192
Swamp Myrtle,4001 Geary Blvd,37.7810502710743,-122.462130924837
New Zealand Xmas Tree,2701 45th Ave,37.7358053165302,-122.503214365645
Sycamore: London Plane,1904 Broadway,37.7951660503344,-122.428642686735
Swamp Myrtle,1400X La Salle Ave,37.7352581567374,-122.386362081573
Cherry Plum,2006 STEINER ST,37.7881333336583,-122.435291496336
Cherry Plum,3330 Cesar Chavez St,37.7483108345809,-122.416611844962
Cherry Plum,4387 25th St,37.7493805918544,-122.438089758144
Cherry Plum,163 Forest Side Ave,37.740567907571,-122.468899777824
Sycamore: London Plane,1961 California St,37.7896542499749,-122.426546164276
Sycamore: London Plane,1601X 28th Ave,37.7574314190685,-122.486447346513
Sycamore: London Plane,3065 Pacific Ave,37.7918984428097,-122.445651783104
New Zealand Xmas Tree,8149 Geary Blvd,37.778964846285,-122.507061160796
Swamp Myrtle,3505 17th St,37.7630791219289,-122.424344930098
Brisbane Box,1000X Ellis St,37.7835755275245,-122.423480586254
Swamp Myrtle,2201 Lyon St,37.79132693084,-122.446266333039
Swamp Myrtle,2396X Ocean Ave,37.7303706324832,-122.470030650205
Brisbane Box,1000 Cayuga Ave,37.7197834059472,-122.442045963044
Cherry Plum,2176 15th Ave,37.7474244609868,-122.471561049334
Cherry Plum,1600X Webster St,37.785368381567,-122.431272227533
Brisbane Box,2585 03rd St,37.7564100041332,-122.387954665678
Swamp Myrtle,2436 Bay Shore Blvd,37.7108090136865,-122.404142791654
Cherry Plum,161 Naples St,37.7261072002806,-122.427155337556
Swamp Myrtle,349 Capistrano Ave,37.7260661345308,-122.4383791321
New Zealand Xmas Tree,4400X Balboa St,37.7754019792673,-122.506058164857
Cherry Plum,2185 15th Ave,37.7472821677457,-122.471735498512
Sycamore: London Plane,5414 California St,37.7843875739705,-122.475743722006
Cherry Plum,1914 17th Ave,37.7521688877939,-122.474094044804
Swamp Myrtle,521 07th St,37.7740215758453,-122.404427727506
Swamp Myrtle,1200X La Salle Ave,37.7316151284675,-122.381940767084
Sycamore: London Plane,1300 15th St,37.767074555268,-122.414169540891
Swamp Myrtle,311 Oak St,37.7746690605587,-122.424831616025
Cherry Plum,1751 Carroll Ave,37.7261078603777,-122.395847723887
Swamp Myrtle,2849X Alemany Blvd,37.7132258706419,-122.450099227424
